TreatNumber,ContestantName
NYT1,John Hannah
NYT1,Krishnan Guru-Murthy
NYT1,Nicola Coughlan
NYT1,Rylan Clark-Neal
NYT1,Shirley Ballas
NYT2,Adrian Chiles
NYT2,Claudia Winkleman
NYT2,Jonnie Peacock
NYT2,Lady Leshurr
NYT2,Sayeeda Warsi
NYT2,Alan Davies
NYT3,Amelia Dimoldenberg
NYT3,Carol Vorderman
NYT3,Greg James
NYT3,Mo Farah
NYT3,Rebecca Lucy Taylor
NYT4,Deborah Meaden
NYT4,Kojey Radical
NYT4,Lenny Rush
NYT4,Steve Backshall
NYT4,Zoe Ball
NYT5,David James
NYT5,Hannah Fry
NYT5,Martin Lewis
NYT5,Melanie Blatt
NYT5,Sue Johnston
NYT6,Big Zulu
NYT6,Jill Scott
NYT6,Rose Ayling-Ellis
NYT6,Sam Ryder
NYT6,Susie Dent
